,Date,temp ©,rain (cm)
658,11/15/2016,27,2.7
659,11/16/2016,28,0.6
660,11/17/2016,27,0.2
661,11/19/2016,25,0
662,11/20/2016,25,0
663,11/21/2016,25,0
664,11/22/2016,25,0
665,11/23/2016,26,0
666,11/24/2016,25,0
667,11/25/2016,25,0
668,11/26/2016,25,0
669,11/27/2016,26,0
670,11/28/2016,25,0
671,11/29/2016,26,0
672,11/30/2016,25,0
673,12/1/2016,27,0
674,12/2/2016,27,1.1
675,12/3/2016,28,0.3
676,12/4/2016,28,0.3
677,12/5/2016,27,0.1
678,12/6/2016,25,0
679,12/7/2016,25,0
680,12/8/2016,25,0
681,12/9/2016,24,0
682,12/10/2016,25,0
683,12/11/2016,26,0
684,12/12/2016,27,1.3
685,12/13/2016,27,2.4
686,12/14/2016,26,3.3
687,12/15/2016,27,0
688,12/16/2016,27,0.1
689,12/17/2016,27,0
690,12/18/2016,25,0
691,12/19/2016,25,0
692,12/20/2016,24,0
693,12/21/2016,24,0
694,12/22/2016,24,0
695,12/23/2016,24,0
696,12/24/2016,25,0
697,12/25/2016,25,0
698,12/26/2016,25,0
699,12/27/2016,26,0
700,12/28/2016,26,0
701,12/29/2016,26,0
702,12/30/2016,25,0.1
703,12/31/2016,26,0
704,1/1/2017,26,0
705,1/2/2017,26,0
706,1/3/2017,26,0
707,1/4/2017,26,0
708,1/5/2017,25,0
709,1/6/2017,26,0
710,1/7/2017,26,0
711,1/8/2017,26,0
712,1/9/2017,26,0
713,1/10/2017,27,0
714,1/11/2017,27,0.2
715,1/12/2017,26,0.1
716,1/13/2017,26,0.2
717,1/14/2017,26,0
718,1/15/2017,26,0
719,1/16/2017,26,0
720,1/17/2017,26,0
721,1/18/2017,26,0
722,1/19/2017,26,0
723,1/20/2017,27,0
724,1/21/2017,28,0
725,1/22/2017,28,0
726,1/23/2017,28,0
727,1/24/2017,27,0
728,1/25/2017,27,0
729,1/26/2017,26,0.1
730,1/27/2017,28,0
731,1/28/2017,28,0
732,1/29/2017,28,0
733,1/30/2017,28,0
734,1/31/2017,27,0
735,2/1/2017,27,0
736,2/2/2017,27,0
737,2/3/2017,28,0
738,2/4/2017,28,0
739,2/5/2017,27,0
740,2/6/2017,28,0
741,2/7/2017,29,0
742,2/8/2017,29,0
743,2/9/2017,28,0
744,2/10/2017,27,0
745,2/11/2017,27,0
746,2/12/2017,27,0
747,2/13/2017,27,0
748,2/14/2017,28,0
749,2/15/2017,28,0
750,2/16/2017,28,0
751,2/17/2017,28,0
752,2/18/2017,29,0
753,2/19/2017,31,0
754,2/20/2017,32,0
